ID	freemix	status	freelk1	freelk0	chipmix
1000434	0.001079	PASS	-74437.6	-75183.9	NA
1000592	0.000245	PASS	-71945.3	-80309.4	NA
1000612	0.000309	PASS	-75566.1	-81332.2	NA
1000753	0.000405	PASS	-77130.8	-91407.2	NA
1000810	0.000086	PASS	-73815.4	-102105	NA
1000907	0.000367	PASS	-75872.1	-80602.2	NA
1000917	0.001803	PASS	-70739.3	-71368.4	NA
1001070	0.000833	PASS	-75789.1	-78191.4	NA
1001091	0.000980	PASS	-76099.3	-76511.1	NA
1001099	0.001171	PASS	-73789.3	-75379.3	NA
1001194	0.000462	PASS	-75591.2	-79542.2	NA
1001738	0.001197	PASS	-73781.9	-74166.9	NA
1001746	0.000294	PASS	-74673.5	-83619	NA
1001969	0.001499	PASS	-74548.3	-74723	NA
1002052	0.001000	PASS	-76063.3	-77090.7	NA
1002259	0.000445	PASS	-73704.5	-77552.9	NA
1002448	0.000556	PASS	-74261.4	-77893.6	NA
1002730	0.001321	PASS	-73169.3	-73670.1	NA
1002806	0.000348	PASS	-75426	-78706.8	NA
1003028	0.000134	PASS	-70032.3	-121434	NA
1006061	0.000333	PASS	-69206.4	-115638	NA
1006189	0.001148	PASS	-68266.3	-68737.5	NA
1006194	0.000225	PASS	-70157.4	-81844.4	NA
1006204	0.002165	PASS	-73752.4	-74330.8	NA
1006307	0.000396	PASS	-73481.2	-108577	NA
1006464	0.000363	PASS	-73757.8	-75398.2	NA
1006683	0.000842	PASS	-73333.3	-73735.1	NA
1006739	0.000796	PASS	-74353.7	-74833.3	NA
1006749	0.001652	PASS	-72116.3	-72507.5	NA
1006900	0.000706	PASS	-73906.8	-76413.5	NA
1006999	0.000643	PASS	-76508.4	-76982.1	NA
1007120	0.000442	PASS	-71647.8	-80763.3	NA
1007170	0.000565	PASS	-71075.8	-76925.8	NA
1007607	0.003880	PASS	-72371.2	-72884.9	NA
1007633	0.000850	PASS	-70288.5	-79333.2	NA
1007642	0.000410	PASS	-72930.8	-73593.8	NA
1007647	0.001036	PASS	-72427	-75050.4	NA
1009658	0.000494	PASS	-71068.3	-79389	NA
1009684	0.000840	PASS	-69446.4	-69944.2	NA
1009700	0.000890	PASS	-72651.3	-73291.4	NA
1009704	0.000600	PASS	-73169.2	-73346	NA
1009782	0.000426	PASS	-73139.4	-108107	NA
1009784	0.000410	PASS	-76108.3	-81106.2	NA
1009796	0.000604	PASS	-70375.1	-79775.8	NA
1009802	0.000842	PASS	-75746.9	-76178.5	NA
1009812	0.001930	PASS	-74102.3	-74470.6	NA
102YWC	0.001029	PASS	-67732.4	-68900.3	NA
107FJW	0.001143	PASS	-69673.6	-70640.8	NA
1138837	0.000618	PASS	-75524.5	-79014.6	NA
1138912	0.000474	PASS	-73564.3	-82109.3	NA
1139281	0.000477	PASS	-74633.4	-99088.3	NA
1139354	0.000609	PASS	-72273.9	-72771.2	NA
1139461	0.000229	PASS	-74113.1	-76093	NA
1139606	0.000139	PASS	-74937.6	-139687	NA
1139929	0.000211	PASS	-75032.4	-81672.1	NA
1139962	0.000584	PASS	-72287	-73349.1	NA
1140048	0.000551	PASS	-74841.7	-78108.9	NA
1140464	0.000258	PASS	-74403	-79802.3	NA
1140557	0.000267	PASS	-76094.2	-108705	NA
1196221	0.000138	PASS	-75091.6	-81571.8	NA
1196256	0.000740	PASS	-72766.7	-73337.1	NA
1196905	0.000189	PASS	-74101.3	-77493.4	NA
1197024	0.000463	PASS	-72303.9	-74932	NA
1199393	0.000354	PASS	-74650.4	-75713.5	NA
1199524	0.000063	PASS	-71890.9	-170146	NA
1199767	0.000163	PASS	-76200.1	-87935	NA
1199840	0.000073	PASS	-77219.4	-97647.3	NA
119SZX	0.001159	PASS	-70157.2	-70969.5	NA
1200084	0.000176	PASS	-74520	-92717.8	NA
1200524	0.000000	PASS	-74916.7	-102683	NA
1200618	0.000520	PASS	-74421.5	-75192	NA
1200709	0.000724	PASS	-73909.7	-74514.1	NA
1200900	0.000556	PASS	-74113.3	-75720.6	NA
1201142	0.002872	PASS	-71922.1	-72262.3	NA
1201536	0.000597	PASS	-72618.6	-74242.3	NA
1201570	0.004439	PASS	-75591.4	-76127.1	NA
1201606	0.000408	PASS	-73536.5	-88177.2	NA
1201631	0.000412	PASS	-75054.9	-86741.1	NA
1206666	0.000306	PASS	-74524.9	-83205.1	NA
1206844	0.000338	PASS	-73538.9	-133863	NA
1206992	0.000378	PASS	-74976.2	-97128.2	NA
1207280	0.000751	PASS	-74096.6	-77331.8	NA
1207299	0.000203	PASS	-72744.7	-126325	NA
1207363	0.000492	PASS	-72892.4	-73574.7	NA
1207950	0.000187	PASS	-73439.2	-162155	NA
1208122	0.001512	PASS	-77218.3	-78055.4	NA
1208475	0.000410	PASS	-74879	-84153.1	NA
1208781	0.000396	PASS	-74805.5	-79834	NA
1208821	0.000236	PASS	-70488.2	-114516	NA
1209159	0.000555	PASS	-74967.7	-78763.8	NA
1209371	0.000289	PASS	-70559.1	-88520.2	NA
1209411	0.000353	PASS	-68971.8	-69910.1	NA
1209488	0.000198	PASS	-74587.4	-85963.3	NA
1209674	0.000667	PASS	-75574.5	-80035.2	NA
1209861	0.000270	PASS	-74174.3	-83635.5	NA
1210281	0.000419	PASS	-75346.5	-80827.7	NA
1210651	0.000240	PASS	-72319.5	-83102.5	NA
1211776	0.000380	PASS	-72728	-76950	NA
1211839	0.000281	PASS	-74334.7	-76484.4	NA
1211997	0.000425	PASS	-65359.5	-73678.8	NA
1212230	0.000801	PASS	-73450.9	-76510.7	NA
