	Pvalue_less(0.0004999999999999449) & Pvalue_greater(1.0)
0	0.06399200456881782
1	0.06659051970302685
2	0.0644774414620217
3	0.06382067390062822
4	0.06767561393489435
5	0.0633923472301542
6	0.0644774414620217
7	0.06387778412335808
8	0.06778983438035409
9	0.06521987435750999
10	0.062078812107367216
11	0.06507709880068532
12	0.06627641347801257
13	0.06527698458023987
14	0.06721873215305539
15	0.06501998857795545
16	0.06636207881210737
17	0.06570531125071388
18	0.06444888635065676
19	0.06442033123929183
20	0.06699029126213592
21	0.06487721302113078
22	0.06496287835522559
23	0.06536264991433467
24	0.06436322101656196
25	0.06470588235294118
26	0.06322101656196459
27	0.06419189034837236
28	0.06270702455739577
29	0.06621930325528269
30	0.06482010279840092
31	0.0633066818960594
32	0.06593375214163336
33	0.06501998857795545
34	0.06496287835522559
35	0.061479154768703595
36	0.06490576813249571
37	0.06644774414620216
38	0.06696173615077099
39	0.0653055396916048
40	0.06427755568246717
41	0.06601941747572816
42	0.06482010279840092
43	0.06604797258709309
44	0.06507709880068532
45	0.06467732724157624
46	0.06707595659623072
47	0.0663049685893775
48	0.06610508280982295
49	0.06316390633923473
50	0.06599086236436322
51	0.06322101656196459
52	0.06770416904625928
53	0.06621930325528269
54	0.06524842946887492
55	0.06459166190748145
56	0.06727584237578527
57	0.06233580810965163
58	0.06647629925756711
59	0.0665619645916619
60	0.06273557966876071
61	0.06596230725299829
62	0.06493432324386066
63	0.06576242147344374
64	0.06607652769845802
65	0.0653912050256996
66	0.06479154768703597
67	0.06473443746430611
68	0.06533409480296973
69	0.0661336379211879
70	0.06422044545973729
71	0.06696173615077099
72	0.0645631067961165
73	0.06367789834380354
74	0.06684751570531125
75	0.06493432324386066
76	0.06507709880068532
77	0.06624785836664764
78	0.06393489434608796
79	0.06482010279840092
80	0.0653912050256996
81	0.06719017704169046
82	0.06476299257567104
83	0.06342090234151913
84	0.06324957167332952
85	0.06376356367789834
86	0.06573386636207881
87	0.06362078812107368
88	0.06721873215305539
89	0.06836093660765277
90	0.06487721302113078
91	0.06701884637350086
92	0.06370645345516847
93	0.06444888635065676
94	0.06402055968018275
95	0.06416333523700743
96	0.06667618503712164
97	0.06379211878926327
98	0.06510565391205025
99	0.06710451170759565
100	0.06399200456881782
101	0.06659051970302685
102	0.06661907481439178
103	0.06499143346659052
104	0.06307824100513992
105	0.06647629925756711
106	0.06513420902341518
107	0.06444888635065676
108	0.06324957167332952
109	0.06536264991433467
110	0.06641918903483723
111	0.06527698458023987
112	0.06419189034837236
113	0.06482010279840092
114	0.06550542547115934
115	0.06382067390062822
116	0.06382067390062822
117	0.06436322101656196
118	0.06496287835522559
119	0.06621930325528269
120	0.06416333523700743
121	0.06550542547115934
122	0.06459166190748145
123	0.0645631067961165
124	0.06370645345516847
125	0.06436322101656196
126	0.06516276413478013
127	0.06316390633923473
128	0.06579097658480867
129	0.0663906339234723
130	0.06336379211878926
131	0.06564820102798401
132	0.06507709880068532
133	0.06527698458023987
134	0.06516276413478013
135	0.06579097658480867
136	0.06716162193032553
137	0.06493432324386066
138	0.06367789834380354
139	0.06778983438035409
140	0.06344945745288406
141	0.06499143346659052
142	0.06561964591661908
143	0.06484865790976585
144	0.06687607081667618
145	0.06379211878926327
146	0.06459166190748145
147	0.06510565391205025
148	0.06581953169617362
149	0.06333523700742433
150	0.06507709880068532
151	0.06644774414620216
152	0.06342090234151913
153	0.06382067390062822
154	0.06510565391205025
155	0.06462021701884638
156	0.06599086236436322
157	0.06216447744146202
158	0.063478012564249
159	0.06499143346659052
160	0.06784694460308395
161	0.06413478012564248
162	0.06350656767561394
163	0.06667618503712164
164	0.0663049685893775
165	0.06499143346659052
166	0.06710451170759565
167	0.06873215305539691
168	0.06493432324386066
169	0.06490576813249571
170	0.06727584237578527
171	0.06576242147344374
172	0.06513420902341518
173	0.06710451170759565
174	0.06473443746430611
175	0.06818960593946316
176	0.0655625356938892
177	0.06464877213021131
178	0.06624785836664764
179	0.06541976013706453
180	0.06684751570531125
181	0.06547687035979441
182	0.06767561393489435
183	0.06544831524842946
184	0.06413478012564248
185	0.06293546544831524
186	0.06490576813249571
187	0.063478012564249
188	0.06422044545973729
189	0.063478012564249
190	0.06382067390062822
191	0.06404911479154769
192	0.06470588235294118
193	0.0643917761279269
194	0.06464877213021131
195	0.06553398058252427
196	0.06644774414620216
197	0.0671330668189606
198	0.06396344945745289
199	0.06553398058252427
200	0.06607652769845802
201	0.063478012564249
202	0.06541976013706453
203	0.06422044545973729
204	0.06733295259851513
205	0.06559109080525415
206	0.06570531125071388
207	0.06619074814391776
208	0.06462021701884638
209	0.0635636778983438
210	0.06444888635065676
211	0.06470588235294118
212	0.06741861793260993
213	0.0644774414620217
214	0.06459166190748145
215	0.06547687035979441
216	0.06659051970302685
217	0.06504854368932039
218	0.0633923472301542
219	0.06676185037121644
220	0.06770416904625928
221	0.06804683038263849
222	0.06876070816676184
223	0.06679040548258139
224	0.0633923472301542
225	0.06599086236436322
226	0.06587664191890348
227	0.06467732724157624
228	0.06399200456881782
229	0.06504854368932039
230	0.06507709880068532
231	0.0661336379211879
232	0.062392918332381496
233	0.06424900057110222
234	0.06590519703026841
235	0.06770416904625928
236	0.06350656767561394
237	0.06661907481439178
238	0.0661336379211879
239	0.06599086236436322
240	0.06410622501427755
241	0.06322101656196459
242	0.06444888635065676
243	0.06561964591661908
244	0.06758994860079955
245	0.06393489434608796
246	0.06410622501427755
247	0.06416333523700743
248	0.06541976013706453
249	0.06644774414620216
250	0.06576242147344374
251	0.06807538549400342
252	0.0643917761279269
253	0.06353512278697887
254	0.06313535122786978
255	0.06507709880068532
256	0.06450599657338664
257	0.0644774414620217
258	0.06536264991433467
259	0.0671330668189606
260	0.06476299257567104
261	0.0653912050256996
262	0.06524842946887492
263	0.063478012564249
264	0.06787549971444888
265	0.06507709880068532
266	0.06384922901199315
267	0.0635636778983438
268	0.06567675613934894
269	0.06579097658480867
270	0.06696173615077099
271	0.06376356367789834
272	0.06579097658480867
