	Pvalue_less(0.0004999999999999449) & Pvalue_greater(1.0)
0	0.042375785265562536
1	0.04206167904054826
2	0.04060536836093661
3	0.04106225014277556
4	0.04220445459737293
5	0.041376356367789836
6	0.04183323814962878
7	0.04060536836093661
8	0.04163335237007424
9	0.04091947458595088
10	0.04120502569960023
11	0.04240434037692747
12	0.040519703026841804
13	0.04154768703597944
14	0.04197601370645346
15	0.04049114791547687
16	0.040862364363221014
17	0.04240434037692747
18	0.04363221016561965
19	0.04194745859508852
20	0.04154768703597944
21	0.04169046259280411
22	0.044060536836093664
23	0.04006282124500286
24	0.04214734437464306
25	0.042033123929183326
26	0.04149057681324957
27	0.0413478012564249
28	0.04414620217018846
29	0.039805825242718446
30	0.04060536836093661
31	0.04094802969731582
32	0.04029126213592233
33	0.04194745859508852
34	0.04271844660194175
35	0.041433466590519705
36	0.0403483723586522
37	0.04257567104511708
38	0.03969160479725871
39	0.04026270702455739
40	0.041119360365505425
41	0.041519131924614504
42	0.041519131924614504
43	0.04083380925185608
44	0.042175899486007994
45	0.040376927470017136
46	0.040805254140491146
47	0.0413478012564249
48	0.04149057681324957
49	0.040376927470017136
50	0.040205596801827524
51	0.04254711593375214
52	0.04103369503141062
53	0.04149057681324957
54	0.039548829240434034
55	0.040148486579097656
56	0.039463163906339235
57	0.04169046259280411
58	0.04154768703597944
59	0.04166190748143918
60	0.0403483723586522
61	0.04154768703597944
62	0.041433466590519705
63	0.04091947458595088
64	0.04271844660194175
65	0.04140491147915477
66	0.04026270702455739
67	0.043175328383780694
68	0.04103369503141062
69	0.04149057681324957
70	0.041090805254140494
71	0.04063392347230154
72	0.041376356367789836
73	0.04206167904054826
74	0.04123358081096516
75	0.043118218161050825
76	0.04123358081096516
77	0.04257567104511708
78	0.04174757281553398
79	0.04231867504283267
80	0.040148486579097656
81	0.04103369503141062
82	0.040119931467732725
83	0.041519131924614504
84	0.042090234151913195
85	0.03932038834951456
86	0.041776127926898915
87	0.041119360365505425
88	0.04091947458595088
89	0.04029126213592233
90	0.04097658480868075
91	0.039206167904054824
92	0.04240434037692747
93	0.04054825813820674
94	0.043032552826956026
95	0.04294688749286122
96	0.04089091947458595
97	0.03923472301541976
98	0.042090234151913195
99	0.03994860079954312
100	0.041090805254140494
101	0.04114791547687036
102	0.041519131924614504
103	0.04149057681324957
104	0.04023415191319246
105	0.04120502569960023
106	0.04040548258138207
107	0.03983438035408338
108	0.039862935465448314
109	0.04097658480868075
110	0.0403483723586522
111	0.04089091947458595
112	0.04360365505425471
113	0.042090234151913195
114	0.040862364363221014
115	0.04260422615648201
116	0.04189034837235865
117	0.040119931467732725
118	0.039805825242718446
119	0.04220445459737293
120	0.04231867504283267
121	0.03960593946316391
122	0.04149057681324957
123	0.04206167904054826
124	0.04129069103369503
125	0.0423472301541976
126	0.042090234151913195
127	0.04229011993146773
128	0.04023415191319246
129	0.04069103369503141
130	0.03894917190177042
131	0.04254711593375214
132	0.04191890348372359
133	0.04163335237007424
134	0.042090234151913195
135	0.04114791547687036
136	0.04031981724728726
137	0.04060536836093661
138	0.04220445459737293
139	0.040177041690462593
140	0.041462021701884635
141	0.041090805254140494
142	0.04154768703597944
143	0.04140491147915477
144	0.0403483723586522
145	0.04194745859508852
146	0.039491719017704166
147	0.04428897772701314
148	0.03989149057681325
149	0.0422615648201028
150	0.03966304968589378
151	0.04129069103369503
152	0.04197601370645346
153	0.040148486579097656
154	0.04294688749286122
155	0.04288977727013135
156	0.04100513992004569
157	0.03994860079954312
158	0.04140491147915477
159	0.04271844660194175
160	0.040805254140491146
161	0.041433466590519705
162	0.04354654483152484
163	0.042747001713306684
164	0.0422615648201028
165	0.040434037692747005
166	0.042461450599657335
167	0.04023415191319246
168	0.04140491147915477
169	0.040805254140491146
170	0.04071958880639635
171	0.042747001713306684
172	0.043774985722444315
173	0.04189034837235865
174	0.042775556824671615
175	0.0412621359223301
176	0.0403483723586522
177	0.03940605368360937
178	0.04083380925185608
179	0.0403483723586522
180	0.04029126213592233
181	0.03997715591090805
182	0.04197601370645346
183	0.042432895488292405
184	0.039491719017704166
185	0.04060536836093661
186	0.0412621359223301
187	0.04220445459737293
188	0.042747001713306684
189	0.04123358081096516
190	0.040805254140491146
191	0.04060536836093661
192	0.04140491147915477
193	0.04260422615648201
194	0.04129069103369503
195	0.04074814391776128
196	0.04100513992004569
197	0.040862364363221014
198	0.04291833238149629
199	0.041176470588235294
200	0.04071958880639635
201	0.04120502569960023
202	0.04097658480868075
203	0.043089663049685895
204	0.04314677327241576
205	0.042689891490576816
206	0.04100513992004569
207	0.04157624214734437
208	0.04194745859508852
209	0.0442604226156482
210	0.04123358081096516
211	0.04166190748143918
212	0.042689891490576816
213	0.041462021701884635
214	0.04174757281553398
215	0.04297544260422616
216	0.04240434037692747
217	0.04089091947458595
218	0.03966304968589378
219	0.04171901770416905
220	0.03894917190177042
221	0.043175328383780694
222	0.042747001713306684
223	0.04157624214734437
224	0.04049114791547687
225	0.04206167904054826
226	0.0413478012564249
227	0.041376356367789836
228	0.040376927470017136
229	0.04191890348372359
230	0.04129069103369503
231	0.043118218161050825
232	0.04069103369503141
233	0.04063392347230154
234	0.042118789263278125
235	0.04171901770416905
236	0.04163335237007424
237	0.041176470588235294
238	0.04097658480868075
239	0.04154768703597944
240	0.041776127926898915
241	0.03903483723586522
242	0.04149057681324957
243	0.04063392347230154
244	0.04009137635636779
245	0.040462592804111935
246	0.04240434037692747
247	0.04149057681324957
248	0.04191890348372359
249	0.04271844660194175
250	0.04194745859508852
251	0.040205596801827524
252	0.04074814391776128
253	0.040148486579097656
254	0.04266133637921188
255	0.04114791547687036
256	0.04057681324957167
257	0.04169046259280411
258	0.04288977727013135
259	0.04169046259280411
260	0.04191890348372359
261	0.041776127926898915
262	0.04186179326099372
263	0.04160479725870931
264	0.04194745859508852
265	0.042461450599657335
266	0.04120502569960023
267	0.03966304968589378
268	0.0422615648201028
269	0.04023415191319246
270	0.042689891490576816
271	0.03969160479725871
272	0.043346659051970306
273	0.0423472301541976
274	0.04100513992004569
275	0.04006282124500286
276	0.04197601370645346
277	0.04160479725870931
278	0.04054825813820674
279	0.04169046259280411
280	0.03929183323814963
281	0.040119931467732725
282	0.04286122215876642
283	0.040376927470017136
284	0.042033123929183326
285	0.04180468303826385
286	0.04271844660194175
287	0.03997715591090805
288	0.04163335237007424
289	0.043432324386065105
290	0.04254711593375214
291	0.040862364363221014
292	0.043403769274700174
293	0.04094802969731582
294	0.04206167904054826
295	0.04280411193603655
296	0.041119360365505425
297	0.04103369503141062
298	0.04163335237007424
299	0.042033123929183326
300	0.04140491147915477
301	0.04194745859508852
302	0.04194745859508852
303	0.040805254140491146
304	0.04140491147915477
305	0.040119931467732725
306	0.042118789263278125
307	0.04029126213592233
308	0.04100513992004569
309	0.04006282124500286
310	0.042033123929183326
311	0.04488863506567676
312	0.04189034837235865
313	0.04257567104511708
314	0.04163335237007424
315	0.04366076527698458
316	0.04166190748143918
317	0.042747001713306684
318	0.040862364363221014
319	0.040119931467732725
320	0.04166190748143918
321	0.04071958880639635
322	0.042775556824671615
323	0.03957738435179897
324	0.04229011993146773
325	0.041119360365505425
326	0.0413478012564249
327	0.04283266704740148
328	0.042432895488292405
