ID,优先纳入,FREEMIX,status,log10_FREEMIX
1000434,FIRST,0.00107859,PASS,-2.967143610531216
1000592,FIRST,0.00024483,PASS,-3.6111353674244056
1000612,FIRST,0.000308796,PASS,-3.5103283339489275
1000753,FIRST,0.000404546,PASS,-3.393032088612095
1000810,FIRST,8.61e-05,PASS,-4.064996848546345
1000907,FIRST,0.000366642,PASS,-3.4357577867184443
1000917,FIRST,0.00180295,PASS,-2.744016317107433
1001070,FIRST,0.000833009,PASS,-3.079350306361253
1001091,FIRST,0.000980419,PASS,-3.0085882809417877
1001099,FIRST,0.00117091,PASS,-2.931476484949406
1001194,FIRST,0.000462054,PASS,-3.335307265717546
1001738,FIRST,0.00119731,PASS,-2.9217933902293947
1001746,FIRST,0.000293709,PASS,-3.5320827453721573
1001969,FIRST,0.00149861,PASS,-2.8243113737462395
1002052,FIRST,0.00100016,PASS,-2.999930518441272
1002259,FIRST,0.000444802,PASS,-3.351833268667431
1002448,FIRST,0.000555548,PASS,-3.255278411548424
1002730,FIRST,0.00132116,PASS,-2.8790445836653427
1002806,FIRST,0.000348492,PASS,-3.4578071871376608
1003028,FIRST,0.000133915,PASS,-3.873170774351915
1006061,FIRST,0.000332528,PASS,-3.4781717797337737
1006189,FIRST,0.00114758,PASS,-2.940217029235142
1006194,FIRST,0.000224829,PASS,-3.648147671182715
1006204,FIRST,0.00216543,PASS,-2.6644558507727885
1006307,FIRST,0.000396375,PASS,-3.401893744964855
1006464,FIRST,0.000363194,PASS,-3.439861334678527
1006683,FIRST,0.000842059,PASS,-3.074657478005406
1006739,FIRST,0.000795854,PASS,-3.0991665965965423
1006749,FIRST,0.0016519,PASS,-2.7820162468235625
1006900,FIRST,0.000706371,PASS,-3.150967138986696
1006999,FIRST,0.000642961,PASS,-3.19181536921959
1007120,FIRST,0.000441801,PASS,-3.3547733054541937
1007170,FIRST,0.000564753,PASS,-3.2481414534045268
1007607,FIRST,0.00387954,PASS,-2.411219765979239
1007633,FIRST,0.000850464,PASS,-3.0703440652756906
1007642,FIRST,0.00041011,PASS,-3.387099640876207
1007647,FIRST,0.00103563,PASS,-2.9847953774668428
1009658,FIRST,0.000493662,PASS,-3.3065703016349732
1009684,FIRST,0.000839511,PASS,-3.0759736089863217
1009700,FIRST,0.00089007,PASS,-3.05057583670535
1009704,FIRST,0.000599667,PASS,-3.22208984996535
1009782,FIRST,0.000426273,PASS,-3.370312174559911
1009784,FIRST,0.000410081,PASS,-3.387130352112932
1009796,FIRST,0.000603886,PASS,-3.2190450386036793
1009802,FIRST,0.000841635,PASS,-3.0748762123647606
1009812,FIRST,0.00193006,PASS,-2.714429189819231
102YWC,FIRST,0.00102889,PASS,-2.9876310537571236
107FJW,FIRST,0.00114279,PASS,-2.9420335685726515
1138837,FIRST,0.000618073,PASS,-3.2089602277835616
1138912,FIRST,0.000474093,PASS,-3.3241364570071696
1139281,FIRST,0.00047749,PASS,-3.3210357193478695
1139354,FIRST,0.000609101,PASS,-3.2153106874890147
1139461,FIRST,0.000228574,PASS,-3.640973171572893
1139606,FIRST,0.000138859,PASS,-3.857425966661532
1139929,FIRST,0.000210824,PASS,-3.6760799509819426
1139962,FIRST,0.00058427,PASS,-3.233386412455677
1140048,FIRST,0.000551173,PASS,-3.258712065117508
1140464,FIRST,0.000257756,PASS,-3.58879121649425
1140557,FIRST,0.00026732,PASS,-3.5729685475483444
1196221,FIRST,0.000138424,PASS,-3.8587886052265445
1196256,FIRST,0.000740339,PASS,-3.130569372002824
1196905,FIRST,0.000188634,PASS,-3.7243800259063895
1197024,FIRST,0.000463021,PASS,-3.3343993114068913
1199393,FIRST,0.000354352,PASS,-3.4505651116917617
1199524,FIRST,6.3e-05,PASS,-4.200659450546418
1199767,FIRST,0.000162806,PASS,-3.7883295938026236
1199840,FIRST,7.3e-05,PASS,-4.136677139879544
119SZX,FIRST,0.00115869,PASS,-2.9360327411698366
1200084,FIRST,0.000175971,PASS,-3.7545588979682796
1200524,FIRST,1.43e-07,PASS,-6.844663962534939
1200618,FIRST,0.000520258,PASS,-3.2837812329248073
1200709,FIRST,0.000723942,PASS,-3.1402962267434043
1200900,FIRST,0.000555929,PASS,-3.25498067042722
1201142,FIRST,0.00287197,PASS,-2.541820100955679
1201536,FIRST,0.000596797,PASS,-3.224173368656568
1201570,FIRST,0.00443921,PASS,-2.352694309877994
1201606,FIRST,0.000407995,PASS,-3.38934515917903
1201631,FIRST,0.000412184,PASS,-3.384908870505799
1206666,FIRST,0.000305884,PASS,-3.514443239241022
1206844,FIRST,0.000337701,PASS,-3.4714676533301234
1206992,FIRST,0.00037766,PASS,-3.422899011198985
1207280,FIRST,0.000751233,PASS,-3.124225342729275
1207299,FIRST,0.000203479,PASS,-3.6914804053809083
1207363,FIRST,0.000491732,PASS,-3.3082715285997795
1207950,FIRST,0.000186649,PASS,-3.72897433252924
1208122,FIRST,0.00151167,PASS,-2.820543005674148
1208475,FIRST,0.000410188,PASS,-3.387017049014004
1208781,FIRST,0.000395701,PASS,-3.4026328522006564
1208821,FIRST,0.000236028,PASS,-3.6270364736223515
1209159,FIRST,0.000555243,PASS,-3.2555169079357897
1209371,FIRST,0.000289438,PASS,-3.5384444514238855
1209411,FIRST,0.000353291,PASS,-3.4518674259677096
1209488,FIRST,0.000197957,PASS,-3.7034291364597807
1209674,FIRST,0.000667214,PASS,-3.1757348495721205
1209861,FIRST,0.000270063,PASS,-3.568534912282524
1210281,FIRST,0.000419095,PASS,-3.377687520472199
