ID,优先纳入,PC,ContaminatingSample,IntendedSample
2613,FIRST,1,-0.0367549,-0.0164837
2613,FIRST,2,-0.0280799,-0.0315741
2613,FIRST,3,-0.144532,-0.00385115
2613,FIRST,4,0.0339889,0.0133081
1000434,FIRST,1,-0.0225682,-0.0162859
1000434,FIRST,2,-0.0382389,-0.0299698
1000434,FIRST,3,-0.0302813,-0.00405142
1000434,FIRST,4,0.0147248,0.011054
1000592,FIRST,1,-0.00888555,-0.016337
1000592,FIRST,2,-0.0948777,-0.0317273
1000592,FIRST,3,-0.0532668,-0.0036063
1000592,FIRST,4,-0.0981688,0.0132404
1000612,FIRST,1,-0.00480512,-0.0165057
1000612,FIRST,2,-0.0681188,-0.0307929
1000612,FIRST,3,0.101922,-0.00350194
1000612,FIRST,4,0.00978151,0.0140594
1000753,FIRST,1,-0.0475424,-0.0164553
1000753,FIRST,2,-0.0960847,-0.0322216
1000753,FIRST,3,-0.192159,-0.00488854
1000753,FIRST,4,0.0526678,0.0136997
1000810,FIRST,1,0.0451486,-0.016377
1000810,FIRST,2,-0.171293,-0.0313339
1000810,FIRST,3,0.164502,-0.00248553
1000810,FIRST,4,0.248312,0.0150745
1000907,FIRST,1,0.00166428,-0.0163481
1000907,FIRST,2,-0.00896457,-0.0316676
1000907,FIRST,3,-0.102087,-0.0018417
1000907,FIRST,4,-0.0212358,0.0142634
1000917,FIRST,1,-0.0138908,-0.0166251
1000917,FIRST,2,-0.033919,-0.0311482
1000917,FIRST,3,-0.0345363,-0.00487356
1000917,FIRST,4,0.0342938,0.0143079
1001070,FIRST,1,-0.0164749,-0.0163101
1001070,FIRST,2,-0.0482684,-0.0315642
1001070,FIRST,3,0.0484924,-0.00290474
1001070,FIRST,4,0.067383,0.0130765
1001091,FIRST,1,-0.0234201,-0.0164214
1001091,FIRST,2,-0.0168457,-0.0313324
1001091,FIRST,3,-0.00884946,-0.00552942
1001091,FIRST,4,0.00619889,0.0128642
1001099,FIRST,1,-0.0245659,-0.0163051
1001099,FIRST,2,-0.0409681,-0.0308958
1001099,FIRST,3,0.0240668,-0.00321485
1001099,FIRST,4,0.0636393,0.0125656
1001194,FIRST,1,-0.0220027,-0.0161794
1001194,FIRST,2,-0.0469234,-0.0323572
1001194,FIRST,3,-0.0793858,-0.00513317
1001194,FIRST,4,0.0821086,0.0123387
1001738,FIRST,1,-0.0228795,-0.0168806
1001738,FIRST,2,-0.0221167,-0.0308704
1001738,FIRST,3,0.0189326,-0.00590379
1001738,FIRST,4,-0.000888317,0.0150206
1001746,FIRST,1,0.00736093,-0.0165342
1001746,FIRST,2,-0.0449047,-0.0312023
1001746,FIRST,3,0.0536437,-0.00530352
1001746,FIRST,4,0.175333,0.0122238
1001969,FIRST,1,-0.0170345,-0.0165444
1001969,FIRST,2,-0.0374126,-0.0318159
1001969,FIRST,3,-0.000600072,-0.00602255
1001969,FIRST,4,0.0149861,0.0133182
1002052,FIRST,1,-0.026546,-0.0166681
1002052,FIRST,2,-0.0447504,-0.0318204
1002052,FIRST,3,0.015403,-0.00612641
1002052,FIRST,4,-0.00206752,0.0135173
1002259,FIRST,1,0.0194388,-0.0166474
1002259,FIRST,2,-0.0394923,-0.0308501
1002259,FIRST,3,0.055881,-0.00463376
1002259,FIRST,4,0.0199295,0.0136867
1002448,FIRST,1,-0.0111756,-0.0164397
1002448,FIRST,2,-0.0696573,-0.0320502
1002448,FIRST,3,0.0153185,-0.0038001
1002448,FIRST,4,0.0785642,0.0143903
1002730,FIRST,1,-0.0195187,-0.0163956
1002730,FIRST,2,-0.0349554,-0.0315762
1002730,FIRST,3,0.0120232,-0.00677162
1002730,FIRST,4,0.0384033,0.0109845
1002806,FIRST,1,-0.0393049,-0.0166058
1002806,FIRST,2,-0.00252174,-0.0312737
1002806,FIRST,3,0.0294682,-0.00528737
1002806,FIRST,4,0.0637851,0.0129509
1003028,FIRST,1,-0.447151,-0.016398
1003028,FIRST,2,-0.302582,-0.0307305
1003028,FIRST,3,0.586255,-0.00435784
1003028,FIRST,4,0.600321,0.0114606
1006061,FIRST,1,0.0637415,-0.0164685
1006061,FIRST,2,-0.174781,-0.032371
1006061,FIRST,3,0.172485,-0.00359891
1006061,FIRST,4,-0.590895,0.014333
1006189,FIRST,1,-0.0145631,-0.0165976
1006189,FIRST,2,-0.0344631,-0.0320367
1006189,FIRST,3,-0.0374591,-0.00711814
1006189,FIRST,4,0.0214194,0.0127835
1006194,FIRST,1,-0.0835271,-0.0165828
1006194,FIRST,2,-0.0839753,-0.0313181
1006194,FIRST,3,0.027152,-0.00401742
1006194,FIRST,4,-0.0408592,0.0160267
1006204,FIRST,1,-0.0189696,-0.0159296
1006204,FIRST,2,-0.0344963,-0.0315346
1006204,FIRST,3,-0.0152743,-0.00371278
1006204,FIRST,4,-0.0258727,0.0154516
1006307,FIRST,1,-0.0538227,-0.0164009
1006307,FIRST,2,-0.33814,-0.0315535
1006307,FIRST,3,-0.159614,-0.0057303
1006307,FIRST,4,-0.200441,0.0145176
1006464,FIRST,1,-0.0108885,-0.0160486
1006464,FIRST,2,-0.0233272,-0.0315019
1006464,FIRST,3,0.0543343,-0.00294881
1006464,FIRST,4,0.0576948,0.0154362
1006683,FIRST,1,-0.017746,-0.0162774
1006683,FIRST,2,-0.00974109,-0.0310613
1006683,FIRST,3,0.00598116,-0.00476384
1006683,FIRST,4,-0.00467423,0.0136975
1006739,FIRST,1,-0.00864393,-0.0162189
1006739,FIRST,2,-0.0374458,-0.0322335
1006739,FIRST,3,0.022732,-0.00612162
1006739,FIRST,4,-0.000472197,0.0119046
1006749,FIRST,1,-0.0207301,-0.0163661
1006749,FIRST,2,-0.0404345,-0.031319
1006749,FIRST,3,-0.00899968,-0.00344816
1006749,FIRST,4,0.0284703,0.0128001
1006900,FIRST,1,-0.0034058,-0.0164367
1006900,FIRST,2,-0.0134642,-0.0317453
1006900,FIRST,3,-0.085228,-0.00730834
1006900,FIRST,4,-0.0193884,0.0121096
1006999,FIRST,1,-0.0192659,-0.0164251
1006999,FIRST,2,-0.00942157,-0.032241
1006999,FIRST,3,-0.00205028,-0.00234121
1006999,FIRST,4,0.0275791,0.0158489
1007120,FIRST,1,-0.0131915,-0.0162286
1007120,FIRST,2,-0.0118224,-0.0303579
1007120,FIRST,3,-0.116541,-0.0024619
1007120,FIRST,4,0.152852,0.0118109
1007170,FIRST,1,-0.0230461,-0.0165172
1007170,FIRST,2,-0.0748469,-0.0313453
1007170,FIRST,3,-0.073722,-0.00422261
1007170,FIRST,4,-0.0619502,0.0131669
1007607,FIRST,1,-0.0123533,-0.0160779
1007607,FIRST,2,-0.0269836,-0.0316694
1007607,FIRST,3,-0.00699387,-0.00509586
1007607,FIRST,4,0.015449,0.0132008
1007633,FIRST,1,-0.0227787,-0.0162264
1007633,FIRST,2,-0.0949797,-0.031138
1007633,FIRST,3,-0.104824,-0.00263642
1007633,FIRST,4,0.0703973,0.0138876
1007642,FIRST,1,-0.0222896,-0.0163343
1007642,FIRST,2,-0.041282,-0.0311518
1007642,FIRST,3,-0.0293178,-0.00211616
1007642,FIRST,4,0.0100103,0.0160253
1007647,FIRST,1,-0.0377395,-0.0162004
1007647,FIRST,2,-0.0240331,-0.0313832
1007647,FIRST,3,0.0499706,-0.00409558
1007647,FIRST,4,-0.0142127,0.0126355
1009658,FIRST,1,-0.0240791,-0.0160885
1009658,FIRST,2,-0.000265039,-0.0312334
1009658,FIRST,3,-0.13381,-0.00501317
1009658,FIRST,4,-0.0580173,0.0098944
1009684,FIRST,1,-0.0127089,-0.0165828
1009684,FIRST,2,-0.0302467,-0.0313533
1009684,FIRST,3,-0.040597,-0.00509533
1009684,FIRST,4,0.0043068,0.0151929
1009700,FIRST,1,-0.017508,-0.0160064
1009700,FIRST,2,-0.047655,-0.0318173
1009700,FIRST,3,0.0125016,-0.00404679
1009700,FIRST,4,0.0342174,0.0137489
1009704,FIRST,1,-0.0119076,-0.016477
1009704,FIRST,2,-0.0326985,-0.0314761
1009704,FIRST,3,-0.0153147,-0.00754182
1009704,FIRST,4,0.0248519,0.00968996
1009782,FIRST,1,-0.164181,-0.0165614
1009782,FIRST,2,-0.217639,-0.0306304
1009782,FIRST,3,0.174411,-0.00582179
1009782,FIRST,4,0.466281,0.0129124
1009784,FIRST,1,-0.0025792,-0.0164728
1009784,FIRST,2,-0.0323607,-0.0308198
1009784,FIRST,3,-0.121757,-0.00480654
1009784,FIRST,4,-0.000660046,0.0115705
1009796,FIRST,1,-0.0524547,-0.0165288
1009796,FIRST,2,-0.0788389,-0.0317295
1009796,FIRST,3,-0.0828572,-0.00419426
1009796,FIRST,4,0.088641,0.0151642
1009802,FIRST,1,-0.0185423,-0.0160628
1009802,FIRST,2,-0.0395905,-0.0307328
1009802,FIRST,3,-0.0198789,-0.00442372
1009802,FIRST,4,-0.0117132,0.0123336
1009812,FIRST,1,-0.0207894,-0.0162964
1009812,FIRST,2,-0.02372,-0.0320761
1009812,FIRST,3,-0.0169198,-0.00242128
1009812,FIRST,4,0.0259928,0.0141103
1138837,FIRST,1,0.00654059,-0.016216
1138837,FIRST,2,-0.0704105,-0.0322515
1138837,FIRST,3,0.00650126,-0.00517718
1138837,FIRST,4,0.02195,0.013492
1138912,FIRST,1,0.00893571,-0.0162962
1138912,FIRST,2,-0.0329536,-0.0319471
1138912,FIRST,3,0.133066,-0.00252509
1138912,FIRST,4,0.0980937,0.014014
1139281,FIRST,1,-0.163912,-0.016473
1139281,FIRST,2,-0.137263,-0.0326556
1139281,FIRST,3,-0.00472996,-0.00577631
1139281,FIRST,4,-0.00587651,0.0150387
1139354,FIRST,1,-0.0207253,-0.0162241
1139354,FIRST,2,-0.0253756,-0.0315937
1139354,FIRST,3,-0.0354213,-0.00400476
1139354,FIRST,4,-0.0109035,0.0110603
1139461,FIRST,1,-0.0147062,-0.0165208
1139461,FIRST,2,-0.00556498,-0.0319104
1139461,FIRST,3,-0.0234261,-0.0039067
1139461,FIRST,4,-0.082084,0.015386
1139606,FIRST,1,-2.90264,-0.0162296
1139606,FIRST,2,-8.95561,-0.0308425
1139606,FIRST,3,9.94364,-0.00301894
1139606,FIRST,4,4.13065,0.0125726
1139929,FIRST,1,-0.0137477,-0.0164279
1139929,FIRST,2,-0.0690652,-0.0317458
1139929,FIRST,3,0.121402,-0.00611707
1139929,FIRST,4,0.0373238,0.0129964
1139962,FIRST,1,-0.0289573,-0.016028
1139962,FIRST,2,-0.0421317,-0.0311228
1139962,FIRST,3,0.00275433,-0.00410804
1139962,FIRST,4,-0.00842802,0.00966489
1140048,FIRST,1,-0.0369421,-0.0161492
1140048,FIRST,2,-0.0579905,-0.0313937
1140048,FIRST,3,-0.0396837,-0.00210976
1140048,FIRST,4,3.6e-05,0.0140647
1140464,FIRST,1,-0.0348398,-0.0162221
1140464,FIRST,2,-0.0843807,-0.0311704
1140464,FIRST,3,-0.0335344,-0.00258129
1140464,FIRST,4,-0.0240764,0.0111918
1140557,FIRST,1,-0.15236,-0.0163259
1140557,FIRST,2,0.0433367,-0.0313828
1140557,FIRST,3,0.108091,-0.0030054
1140557,FIRST,4,-0.240187,0.0139875
1196221,FIRST,1,-0.0351547,-0.016491
1196221,FIRST,2,0.00271673,-0.0311148
1196221,FIRST,3,0.0728866,-0.00364648
1196221,FIRST,4,0.118976,0.0132422
